"CreationDate";"Body";"Title";"Tags";"Respondida"
"2014-02-04 16:47:22";"<p>I am using javax-faces-2.2.1 on Tomcat 7.0 and am trying to get the file upload to work. </p><p>Adding h:inputFile throws an error saying the form needs to be multipart but the backing bean is resolved. Adding enctype='multipart/form-data throws an error saying that the bean is unreachable as the bean identifier resolves to null.</p><p>As I am using JSF 2.2 I understand that I do not need to define filters in web.xml and that I do not need to add commons-fileupload to lib</p><p>The relevant bits of the page are</p><pre><code>    &lt;h:html xmlns='http://www.w3c.org/1999/xhtml'      xmlns:f='http://java.sun.com/jsf/core'      xmlns:h='http://java.sun.com/jsf/html'      xmlns:rich='http://richfaces.org/rich'      xmlns:a4j='http://richfaces.org/a4j'      xmlns:ui='http://java.sun.com/jsf/facelets'      xmlns:c='http://java.sun.com/jstl/core'&gt;&lt;ui:composition template='/zuzztemplate.xhtml'&gt;  &lt;ui:define name='body'&gt;    &lt;h:form id='page-form' prependId='false' enctype='multipart/form-data' &gt;</code></pre><p>and</p><pre><code>  &lt;rich:tab name='Photos' &gt;    &lt;h:panelGrid columns='1'&gt;      &lt;h:panelGrid columns='2' columnClasses='field-label,field-value'&gt;        &lt;h:outputLabel for='caption' value='Caption:' styleClass='form-label' /&gt;        &lt;h:inputText id='caption' value='#{galleryBean.photoCaption}' size='50' /&gt;      &lt;/h:panelGrid&gt;      &lt;h:inputFile id='file' value='#{galleryBean.uploadFile}'/&gt;      &lt;h:commandButton value='Upload' action='#{galleryBean.upload}'  ajax='false'/&gt;    &lt;/h:panelGrid&gt;  &lt;/rich:tab&gt;</code></pre><p>The backing bean is annotated with</p><pre><code>@ManagedBean@SessionScopedpublic class GalleryBean extends BaseBean {</code></pre><p>There is no form in the template and h:head and h:body are used</p>";"multipart/form-data breaks bean resolution - JSF 2.2";"<java><jsf><file-upload><jsf-2>";"S"
"2014-11-10 12:25:43";"<pre><code>final  List&lt;S&gt; s = new ArrayList&lt;S&gt;();</code></pre><p>I have created 3 objects and added them in a list</p><pre><code>    A a = new('l', 'm'); // creating object a     B b = new ('n', 'o'); // createing b obj    C c = new('p', 'q'); // creating c obj</code></pre><p>Now I add <code>a</code>, <code>b</code>, <code>c</code> in a list</p><pre><code>    s.add(a); // adding to the list s    s.add(b); // adding to the list s    s.add(c); // adding to the list s</code></pre><p>Now I have to add Type for A, B, and C. Like </p><pre><code>  a.setType('Z'); // a, b and c have same Type     b.setType('z'); // a, b, c have same type  c.setType('z'); // a,,b , c have same type</code></pre><p>So instead of doing this 3 times, can I do this only once</p><p>Now <code>a</code> , <code>b</code>, and <code>c</code> have same type which I have to pass. How to do this? Can someone suggest something to me please?</p>";"How to add this in a list?";"<java><list><arraylist><collections>";"S"
"2015-04-21 14:13:03";"<p>how do one narrow down <code>instanceof</code> to a specific child without ending up with the parent class .</p><p>for example if i should have a parent class <code>StackoverflowUsers</code> then i have direct subclass of <code>TenKUsers</code>,<code>HundredKusers</code> etc etc.. Now my question is how do i use <code>instanceof</code> to get if an <code>Object</code> is an instance of one of the direct subclasses of <code>StackoverflowUsers</code> and not end up with the option of that my <code>object</code> is an instance of <code>StackoverflowUsers</code> .. is that possible?</p>";"narrow down instanceof to a specific subclass";"<java><inheritance>";"S"
"2010-05-02 17:35:45";"<p>The knob on vertical JSlider's on my Windows 7 machine (with native look-and-feel) is really, really tiny in both directions. Not just skinny but short as well. <a href='http://img101.imageshack.us/img101/8946/verticalsliderproblemwi.jpg'>alt text http://img101.imageshack.us/img101/8946/verticalsliderproblemwi.jpg</a></p><p>Can anyone confirm this? Should I report it? If so, where? Thanks!</p><p>Here is the code for the sample program (in the screen shot):</p><pre><code>import javax.swing.JFrame;import javax.swing.JPanel;import javax.swing.JSlider;import javax.swing.SwingConstants;import javax.swing.UIManager;public class SliderTest{    public static void main( String[] args )    {        // Set the look and feel to that of the system        try        { UIManager.setLookAndFeel( UIManager.getSystemLookAndFeelClassName() ); }        catch ( Exception e )        { System.err.println( e ); }        // Launch the GUI from the event dispatch thread        javax.swing.SwingUtilities.invokeLater( new Runnable()        {            public void run ()            {                JFrame window = new JFrame();                window.setDefaultCloseOperation( JFrame.EXIT_ON_CLOSE );                JPanel contentPane = new JPanel();                contentPane.add( new JSlider(SwingConstants.HORIZONTAL) );                contentPane.add( new JSlider(SwingConstants.VERTICAL) );                window.setContentPane( contentPane );                window.pack();                window.setLocationRelativeTo( null ); // Center window                window.setVisible( true );            }        });    }}</code></pre>";"Java Swing rendering bug on Windows 7 look-and-feel?";"<java><swing><windows-7>";"S"
"2013-04-25 18:44:11";"<p>So here's a fun one...</p><p>We have a file upload through Fatwire that stores files on a Unix file system.  Fatwire uses Tomcat under the covers.</p><p>A Puppet agent handles our jar deployment and restart.</p><p>When uploading an image file that has Chinese chars in its filename, the file stored on the file system is displaying the dreaded ??? instead of the proper characters.</p><p>When we use the same jar file that Puppet deployed but simply restart manually, it works perfectly.</p><p>I already have -Dfile.encoding=UTF-8 set in the JAVA_OPTS and CATALINA_OPTS settings.</p><p>Help?</p>";"Chinese chars not displayed properly when Puppet starts Tomcat, works when manually started";"<java><tomcat><character-encoding><puppet><file-encodings>";"S"
"2011-04-03 12:20:22";"<p>I have a secured METRO 2.1 web service, and I want to develop a .NET (3.5) client that can use it. I already succeded if the WS was unsecured, but once I get </p><p>Security mechanism is <code>Username Authentication with Symmetric Key</code> and it's using the <code>Development Defaults</code></p><p>How do I set up security in .NET? I've been reading the METRO guide, but I only found broken links to the examples and the guides didn't get me through. I successfully generated a proxy class with <code>svcutil</code>, but I don'T know how to use it.</p><p>svcutil warnings:</p><blockquote>  <p>Warning    1   Custom tool warning: A security policy was imported for the endpoint. The security policy contains requirements that cannot be represented in a Windows Communication Foundation configuration. Look for a comment about the SecurityBindingElement parameters that are required in the configuration file that was generated. Create the correct binding element with code. The binding configuration that is in the configuration file is not secure.</p>    <p>Warning    2   Custom tool warning: The wsam:Addressing element requires a wsp:Policy child element but has no child elements.</p></blockquote><p><strong>EDIT</strong></p><p>I've got really close to solving this (i think). I exported the default GlassFish certificate with <code>keytool.exe</code>:</p><pre><code>keytool -exportcert -alias xws-security-server -storepass changeit -keystore keystore.jks -file server.cer keytool -printcert -file server.cer //This line shows it's content</code></pre><p>I use <code>server.cer</code> certificate on client side:</p><pre><code>KDTreeWSClient wsClient = new KDTreeWSClient();X509Certificate2 server_cert = new X509Certificate2('FullPathToCertificate/server.cer', 'changeit');wsClient.ClientCredentials.ServiceCertificate.DefaultCertificate = server_cert;wsClient.ClientCredentials.UserName.UserName = 'wsitUser'; //Default GF usernamewsClient.ClientCredentials.UserName.Password = 'changeit'; //Default GF password</code></pre><p><strong>Question</strong> This results in a <code>MessageSecurityException</code>, because the expected DNS-identity of the endpoint is <code>localhost</code>, however the endpoint has <code>xwssecurityserver</code>. Can I set it to <code>localhost</code>/<code>xwssecurityserver</code> manually?</p><p>Any help would be appreciated!Thanks in advance,Daniel</p>";"Developing a .NET client that consumes a secure METRO 2.1 web service";"<java><.net><wcf><jax-ws><java-metro-framework>";"S"
"2014-11-10 12:36:01";"<p>Code for <code>getDbTable()</code> is:</p><pre><code>public String[][] getDbTable(String vs_name){    int i = 0;    String a[][] = new String[3600][16];    System.out.println('datetime is' +d);    System.out.println('datetime is' +currentDate);    try    {         con = getConnection();         String sql = 'exec vcs_gauge @gauge_name=?,@first_rec_time=?,@last_rec_time=?';        DateFormat df = new SimpleDateFormat('yyyy-MM-dd HH:mm:ss');         System.out.println('date is '+df.format(currentDate));         clstmt = con.prepareCall(sql);          clstmt.setString(1,'vs1_bag');        clstmt.setString(2, '2014-09-01 10:00:00');        clstmt.setString(3, '2014-09-01 11:00:00');          clstmt.execute();          rs = clstmt.getResultSet();        while (rs.next())        {            for(int j=0; j&lt;16; j++)            {                    a[i][j] = rs.getString(j+1);            }            i++;        }    }    catch( Exception e )    {        System.out.println('nException in Display Bean in getDbTable(String code):'+e);    }    finally    {        //closeConnection();    }    return a; }</code></pre><p>How to get a single parameter from <code>ResultSet</code> into <code>String</code> type of array. I want to retrieve 'logtime' which is my first column in the table and store it into String Array. I tried the following code:</p><pre><code>public String[] getcahrttime() throws SQLException{       getConnection();    getDbTable(vs_name);    String[] timeStr = null;    while(rs.next()){        char[] time= rs.getString('logtime').toCharArray();        timeStr = new String[time.length];        for (int i=0,len=time.length; i&lt;len; i++){            timeStr[i] = String.valueOf(time[i]);        }    }    System.out.println('time is'+timeStr);    return timeStr;}</code></pre><p>where <code>getConnection</code> establishes the connection and <code>getDbTable(vs_name)</code> returns the table with all columns in it. </p><p>When I run the above code then <code>timestr</code> is getting <code>null</code> value. How to fix the problem.</p>";"how to get a single parameter from Resultset into String array";"<java><arrays><resultset>";"S"
"2008-09-21 01:32:54";"<p>just a quick question:</p><p>I am a CS undergrad and have only had experience with the Eclipse, and Net Beans IDEs.  I have recently acquired a Macbook and was wanting to recompile a recent school project in Xcode just to test it out.  Right after the line where I declare a new instance of an ArrayList: </p><pre><code>dictionary = new ArrayList&lt;String&gt;(); </code></pre><p>I get the following error: <b>generics are not supported in -source 1.3</b>.</p><p>I was just wondering if anybody could offer advice as to what the problem might be.  The same project compiles in Eclipse on the same machine.  I'm running OSX 10.5.4, with Java 1.5.0_13.  </p><p>Thank you.</p>";"Xcode: 'Generics are not supported in -source 1.3' compiler error?";"<java><xcode><compiler-construction>";"S"
"2008-09-21 02:13:04";"<p>I know that <code>JTable</code> can sort by a single column. But is it possible to allow for multiple column sort or do I need to write the code myself?</p>";"Multiple column sort in JTable";"<java><swing><jtable>";"S"
"2011-11-13 10:18:03";"<p>I am trying to upload a 4.8 GB file using jQuery transmit plugin and SWFUpload. I am able to upload a file size 2.5 GB.</p><p>Is there any system restriction on file upload?</p><p>I am using a 64-bit system.</p>";"Unable to upload 4GB file using jquery";"<java><javascript><jquery><file-upload><swfupload>";"S"
